valeur intiale;unite intiale;valeur finale;unite finale;
1;al;9,46E+15;m;
1;pc;3,085677581E+16;m;
1;ua;1,496E+11;m;
1;Ag;1E-10;m;
1;bar;1,0E+5;Pa;
1;mm Hg;1,3332E+02;Pa;
1;atm;1,01325E+05;Pa;
1;m/s;3,6E+0;k/h;
1;g/cm^3;1E+3;kg/m^3;
1;eV;1,6022E-19;J;
1;erg;1E-7;J;
1;cal;4,1855E+0;J;
1;BTU;1,055E+3;J;
1;Wh;3,6E+3;J;
1;g eq TNT;4,184E+3;J;
1;g eq petrole;4,186E+4;J;
1;g eq charbon;2,93E+4;J;
1;in;2,5E-2;m;
1;ft;3,048E-1;m;
1;mille marin;1,852E+3;m;
1;mile;1,60934E+3;m;
1;W;1;J/s;
1;kg eqCH4;28;eqCO2;